angDist,#,main_id,main_type,other_types,sp_type
0.016070,1514,MR  41,WR*,Em*|*  |Be*|WR*|IR,WR
0.049814,1515,CD-62   623,Be*,*  |Be*|Em*|*  |IR,B3V:ne
0.110853,1516,HD 106262,Be*,Be*|Em*|*  |** |IR,B8/9V
0.416433,1516,HD 106262B,Star,*,
0.416433,1516,HD 106262A,Star,,
0.006183,1517,HD 106309,Be*,V* |Be*|*  |V* |Em*|*  |Be*|UV |IR,B2IVne
0.042191,1518,CD-59  4161,Em*,*  |Em*|*  |IR,O9.5Ve
0.115708,1519,CPD-59  4128,**,IR |*  |*,B1Ve
0.160094,1519,CPD-59  4128A,Star,,
0.622309,1519,CPD-59  4128B,Star,*,
0.057688,1520,HD 106730,Be*,*  |Be*|Em*|*  |UV |IR,B(0/1)e
0.074095,1521,HD 106793,Be*,Be*|Be*|Em*|*  |UV |IR,B8/B9IVe
0.012948,1522,HD 106960,Be*,Be*|Em*|*  |IR,B8II/III
0.046767,1523,HD 107302,Be*,Be*|Em*|*  |IR,B8/9IV/V
0.025807,1524,* zet Crv,Be*,*  |Be*|Em*|** |IR |PM*,B8V
0.094671,1525,HD 107609,Be*,Be*|Em*|*  |IR,B8/9IV
0.040882,1526,HD 108051,Be*,Be*|Em*|*  |IR,B8III
0.007235,1527,HD 108295,Be*,*  |Be*|Em*|*  |UV |*iC|IR,B2/3(V)n
0.008321,1528,HD 108418,Be*,IR |Be*|Em*|*,B5(V)n
0.035164,1529,CD-61  3483,Be*,*iC|*  |Be*|*  |IR,B2IVn(e)
0.019988,1530,* kap Dra,Be*,*  |V* |UV |IR |Be*|Em*|PM*,B6IIIe
0.002614,1531,CPD-63  2356,Be*,V* |Em*|*  |Be*|V* |*  |IR,OB+
0.016440,1532,CD-60  4299,Be*,*  |Be*|Em*|*  |IR,OB+
0.016867,1533,HD 109857,Be*,*  |Be*|Em*|HXB|UV |IR |X  |** |gam,B8Vn
0.031052,1533,HD 109857A,Star,** |*,B7Vn
0.037410,1534,HD 110007,Be*,Be*|Em*|*  |IR,B8/9V
0.014805,1535,*  39 Cru,Be*,*  |V* |IR |Be*|UV |Em*,B5III
0.753787,1536,[RWW88] CS 123902.2-642401,Star,*  |IR,Be
