#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,EDR3Name,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,RVDR2,GLON,GLAT,Tefftemp,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,HR1_x,HR2_x,HR3,HR4,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,HRhm,HRhs,HRms,VaKSb,VaKPb,VaGLb,Vib,_2SXPS,HR1_y,HR2_y,FPO0,FPU0,NH1H,Gamma,flags
60,DZ Tuc,Classical,15.44,Be,,0,12.686208333333333,-73.2681,60.0,Gaia EDR3 4685928999266932864,-0.0248,0.679,-1.278,0.064,0.722,15.345635,15.346321,15.291616,,303.0010691622,-43.8599762617,,2.0480888530600596e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J005044.7-731605,8.74962e-16,1.24165e-14,5.70257e-14,2.05637e-13,6.95619e-13,9.69037e-13,1.94001e-13,0.850844,0.628668,0.120864,-0.073112,0.0233,0.231228,0.080435,0.0,J005044.6-731605,4.0528414618719e-13,3.5645530817867e-13,3.7660337699568e-14,1.5959001742418e-14,2.6417862020065e-14,0.52467,0.64085,0.17489,0.9563836,0.79283,0.06343752,0.6122941,24913.0,0.594,0.461,1.507e-12,1.64e-12,1.584e+21,0.7767,"BeSS,Gaia,XMM,Chandra"
61,RX J0050.7-7332,Classical,,Be,,0,12.691291666666666,-73.5431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
62,RX J0050.9-7310,Classical,14.35,Be,,0,12.726291666666667,-73.1686,62.0,Gaia EDR3 4685933461724973568,,,,0.0,0.0,20.628763,,,,302.9853648663,-43.959342125,,1.5779658275365665e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
63,RX J0051.3-7216,Classical,15.05,Be,,0,12.7325,-72.23193888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
64,RX J0051.3-7250,Classical,,Be,,0,12.827916666666667,-72.8433,64.0,Gaia EDR3 4688960627670161152,-1.0081,1.217,-2.076,2.419,114.0,17.649883,17.216797,17.09124,,302.9448869749,-44.2850845112,,2.452729157373338e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
65,BD+69 48,Classical,9.41,B5e,,3,12.845333333333333,70.16085555555556,65.0,Gaia EDR3 535977494385042432,1.0117,1.881,0.414,0.099,12.1,9.33854,9.483283,9.050633,,122.9270828659,7.2891090344,,5.178295070945829e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
66,SMC 25,Classical,14.45,Be,,0,12.966708333333333,-73.1761,66.0,Gaia EDR3 4685938413838450688,-0.0247,0.643,-1.215,0.11,5.04,14.335338,14.31789,14.295343,,302.8887817699,-43.9520586313,,5.193589186208365e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J005152.0-731033,1.67824e-14,8.16662e-14,1.69244e-13,4.47806e-13,1.16929e-12,1.8916e-12,5.78084e-13,0.664199,0.297753,-0.034882,-0.193246,0.0,,,1.0,J005152.0-731034,5.6989378204315e-13,4.3963088082397e-13,6.8430614320308e-14,7.1651962123379e-14,1.0331558847326e-12,0.35228,0.19613,-0.1674,0.4111816,0.1406881,0.03571514,,,,,,,,,"BeSS,Gaia,XMM,Chandra"
67,2E 0050.1-7247,Classical,14.87,Be,,0,12.971541666666667,-72.53013888888889,67.0,Gaia EDR3 4688984061034529408,0.0078,0.641,-1.332,0.282,22.6,14.86245,14.718246,14.968932,,302.8847303446,-44.5980025266,,3.1961179182075423e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J005153.0-723148,2.8974960592146e-14,2.3013655119467e-14,4.2694109139624e-15,2.1731608378626e-15,0.0,0.37102,0.37726,0.0,0.9942853,0.9985272,0.9807152,0.3636493,,,,,,,,"BeSS,Gaia,Chandra"
68,RX J0051.9-7255,Classical,,Be,,0,12.975791666666666,-72.9267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
69,X SMC X-3,Classical,14.91,O9IVe,,0,13.024041666666667,-72.43421944444444,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J005205.6-722603,3.79174e-15,2.35984e-14,8.91604e-14,3.12127e-13,8.5105e-13,1.29055e-12,3.16614e-13,0.662555,0.442941,-0.007716,-0.290036,0.0,0.072756,0.003875,1.0,J005205.6-722603,5.8291374613199e-15,3.9830125504711e-15,6.9385047018141e-16,1.3171534343028e-15,0.0,0.29357,-0.25359,-0.49969,0.2029279,0.4249689,0.2078756,,,,,,,,,"BeSS,XMM,Chandra"
70,[HP2004] 22,Classical,15.8,B0Vev,,0,13.046,-72.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
71,2E 0050.4-7335,Classical,14.67,Be,,0,13.058291666666667,-73.3219,71.0,Gaia EDR3 4685885980866646656,-0.0646,0.651,-1.192,0.0,0.0,14.569972,14.611802,14.445728,,302.8528447064,-43.8062300988,,4.1842150177349264e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J005214.0-731918,7.582223629094e-16,0.0,4.4861724484991e-16,6.3043756612218e-16,0.0,0.34978,-0.08869,-0.41849,0.9797509,0.9985113,,0.8999863,,,,,,,,"BeSS,Gaia,Chandra"
72,HD 4931,Classical,8.72,B8Ve,,63,13.064375,60.08994722222222,72.0,Gaia EDR3 426872337089185024,0.5206,-1.924,-1.238,0.098,12.0,8.58344,8.795607,8.192182,52.17,123.0342056882,-2.7816443765,6250.0,1.0380703673266522e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
73,2E 0051.1-7214,Classical,15.53,Be,,0,13.23,-71.9683,73.0,Gaia EDR3 4689080337014302336,-0.077,0.703,-1.228,0.0,0.0,15.465887,15.457437,15.42253,,302.7691456021,-45.1593624832,,1.8333610222070455e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
74,2MASS J00530450-7220495,Classical,15.83,B2IIIe,393,0,13.268875,-72.34702777777778,74.0,Gaia EDR3 4689056594433435392,0.0306,0.731,-1.234,0.0,0.0,15.739072,15.72716,15.713389,,302.7570376778,-44.7806094833,,1.4255222289297567e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
75,Cl* NGC 330 ELS 049996,Classical,15.88,B2IIIe,461,0,13.293125,-72.34508333333333,75.0,Gaia EDR3 4689056628793170560,0.0086,0.738,-1.289,0.0,0.0,15.775158,15.741609,15.753437,,302.7466535513,-44.782501095,,1.3789216611648833e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
76,Cl* NGC 330 ELS 028368,Classical,16.61,B2IIIe,499,0,13.299708333333333,-72.20127777777778,76.0,Gaia EDR3 4689061709698574592,-0.026,0.651,-1.326,0.103,0.63,16.479471,16.45366,16.47166,,302.7418846202,-44.9263158733,,7.207993625300874e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
77,Cl* NGC 330 ELS 021152,Classical,15.3,B2IIIe,199,0,13.30275,-72.34152777777778,77.0,Gaia EDR3 4689056628793468928,-0.079,0.932,-1.189,0.167,5.65,15.223411,15.160031,15.255157,,302.7425059604,-44.7860133178,,2.2921255060889456e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
78,Cl* NGC 330 ELS 083491,Classical,15.95,B3IIIe,433,0,13.333041666666666,-72.37477777777778,78.0,Gaia EDR3 4689009418472603136,-0.0188,0.392,-1.114,0.518,26.1,15.99894,15.859967,15.731932,,302.7300207977,-44.752669733,,1.1220876795883957e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
79,Cl* NGC 330 ELS 073594,Classical,16.13,B2.5IIIe,192,0,13.339208333333334,-72.43580555555556,79.0,Gaia EDR3 4689008250240896896,0.0459,0.61,-1.234,0.177,2.98,16.063185,16.04228,16.033672,,302.7283104445,-44.6916216032,,1.0576179032180216e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
80,Cl* NGC 330 ELS 055592,Classical,16.68,B3IVe,118,0,13.344666666666667,-72.19880555555555,80.0,Gaia EDR3 4689061812857160832,-0.0182,0.685,-1.247,0.119,0.761,16.538229,16.383108,16.386274,,302.7224421545,-44.9286243109,,6.828277994183906e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
81,Cl* NGC 330 ELS 000476,Classical,16.36,B2Ve,309,0,13.34875,-72.3955,81.0,Gaia EDR3 4689008593897287680,0.0088,0.733,-1.3,0.302,6.53,16.314043,16.262327,16.361233,,302.7236466337,-44.7318897413,,8.3943214099585e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
82,CXOU J005323.8-722715,Classical,16.19,Be,,0,13.349583333333333,-72.4542,82.0,Gaia EDR3 4689005260999717760,0.0096,0.65,-1.323,0.037,0.117,16.185415,16.124111,16.27051,,302.7242226805,-44.6731632484,,9.450108479534743e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J005323.8-722715,2.46548e-15,1.70091e-14,5.76202e-14,1.91054e-13,4.56545e-13,7.24506e-13,1.98842e-13,0.732062,0.523565,0.084874,-0.236643,0.0,0.295709,0.037702,1.0,J005323.8-722715,2.4172833862659e-13,2.0689979301993e-13,2.4015664959591e-14,1.1740500071705e-14,3.8704558094081e-15,0.4822,0.58963,0.14741,0.9992314,0.9992698,0.6898634,,4024.0,0.622,0.346,8.708e-13,9.62e-13,2.983e+21,0.9082,"BeSS,Gaia,XMM,Chandra"
83,2MASS J00532660-7220187,Classical,14.97,B2IIIe,185,0,13.360875,-72.3385,83.0,Gaia EDR3 4689010067007622656,0.0026,0.695,-1.304,0.165,7.16,14.926823,14.85523,15.03159,,302.7176045031,-44.7888459576,,3.012129183741091e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
84,Cl* NGC 330 ELS 003789,Classical,17.62,B1Ve,492,0,13.361208333333334,-72.36872222222222,84.0,Gaia EDR3 4689009796484686464,0.0489,0.469,-1.273,0.104,0.245,17.450136,17.45351,17.415771,,302.7179229593,-44.758645002,,2.94814197281902e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
85,Cl* NGC 330 ELS 046388,Classical,16.47,B2IVe,330,0,13.362416666666666,-72.42816666666667,85.0,Gaia EDR3 4689008250240847872,0.0466,0.775,-1.098,0.236,4.0,16.366692,16.334827,16.32872,,302.7183200029,-44.6991977994,,7.996979705597282e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
86,[HP2004] 25,Classical,,Be,,0,13.375,-72.4578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
87,[MA93] 693,Classical,15.86,B1IIIe,457,0,13.4045,-72.31405555555556,87.0,Gaia EDR3 4689057041109985792,-0.0176,0.713,-1.27,0.135,2.18,15.772542,15.736627,15.76232,,302.6985509594,-44.8131430367,,1.382248075308821e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
88,2dFS 952,Classical,15.06,B2IVe,188,0,13.433375,-72.41563888888889,88.0,Gaia EDR3 4689008628253216640,0.0495,0.74,-1.228,0.182,8.12,15.039387,14.976165,15.097383,,302.6879788088,-44.7114836825,,2.7154886624046923e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
89,Cl* NGC 330 ELS 048289,Classical,15.87,B2IVe,253,0,13.461041666666667,-72.38588888888889,89.0,Gaia EDR3 4689008933244342656,0.0175,0.534,-1.441,0.098,1.26,15.670094,15.631886,15.662833,,302.6756629464,-44.7411123123,,1.519025952687046e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
90,[MA93] 720,Classical,15.75,B3IIIe,323,0,13.473583333333334,-72.36705555555555,90.0,Gaia EDR3 4689009109289381632,-0.0947,0.576,-0.971,0.352,16.2,15.679572,15.549255,15.496272,,302.6699735912,-44.7598962885,,1.505823234380875e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
91,Cl* NGC 330 ELS 038007,Classical,17.27,B3Ve,262,0,13.475708333333333,-72.33206111111112,91.0,Gaia EDR3 4689010140081411072,-0.0543,0.677,-1.265,0.0,0.0,17.230806,17.092789,17.075888,,302.6684149872,-44.7948678142,,3.6081151885923437e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
92,Cl* NGC 330 ELS 065055,Classical,14.72,B1IIIe,420,0,13.480583333333334,-72.44591666666666,92.0,Gaia EDR3 4689005432797634944,-0.0412,0.678,-1.234,0.104,3.47,14.664824,14.632143,14.606682,,302.6685032453,-44.6810238253,,3.834186148264806e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J005355.3-722645,6.6965195523638e-15,3.5559678595745e-15,1.5013347562725e-15,1.6729236065701e-15,0.0,-0.03498,-0.30981,-0.27608,0.6923601,0.5641918,0.6378469,0.6733602,3609.0,0.527,0.346,9.036e-11,9.41e-11,1.35e+21,0.7187,"BeSS,Gaia,Chandra"
93,Cl* NGC 330 ELS 003315,Classical,16.06,B2IIIe,302,0,13.492708333333333,-72.4173888888889,93.0,Gaia EDR3 4689005707675450240,-0.0074,0.695,-1.247,0.126,1.49,16.031837,15.969664,16.116245,,302.662804484,-44.7095079668,,1.0885991575418612e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
94,Cl* NGC 330 ELS 065746,Classical,17.42,B1Ve,362,0,13.507875,-72.41265833333334,94.0,Gaia EDR3 4689005810699274624,1.1645,0.813,-2.594,1.341,46.8,17.398272,17.248276,17.09241,,302.6562785804,-44.7141693296,,3.0923881036777035e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
95,Cl* NGC 330 ELS 049746,Classical,16.49,B2IIIe,438,0,13.519541666666667,-72.35175,95.0,Gaia EDR3 4689009143649055360,-0.0281,0.809,-1.255,0.0,0.0,16.38701,16.344559,16.406513,,302.6500690999,-44.7749911318,,7.84871923751706e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
96,Cl* NGC 330 ELS 051315,Classical,17.96,B5Ve,139,0,13.520083333333334,-72.31408333333333,96.0,Gaia EDR3 4689010174385379584,-0.0334,0.933,-1.187,0.0,0.0,17.909605,,,,302.6490966782,-44.8126275833,,1.930904496479499e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
97,[MA93] 733,Classical,15.78,B2IVe,234,0,13.524958333333334,-72.231,97.0,Gaia EDR3 4689059755529214336,0.0157,0.662,-1.27,0.107,1.33,15.77573,15.753672,15.87536,,302.6453015904,-44.8957160446,,1.3781953931673318e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
98,Cl* NGC 330 ELS 026689,Classical,17.52,B2Ve,397,0,13.533208333333333,-72.23441666666666,98.0,Gaia EDR3 4689059755528974208,-0.0676,0.713,-1.188,0.0,0.0,17.444403,17.422325,17.456026,,302.6418257364,-44.8922462827,,2.9637501835591926e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
99,Cl* NGC 330 ELS 026182,Classical,17.98,B3IVe,360,0,13.53725,-72.24513888888889,99.0,Gaia EDR3 4689058999614757376,-0.0894,0.579,-1.138,0.562,4.06,17.877253,17.71583,17.565128,,302.640300144,-44.8815230816,,1.9893060062438146e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
100,2MASS J00541254-7214478,Classical,16.53,B2IVe,146,0,13.551541666666667,-72.24666666666667,100.0,Gaia EDR3 4689059033974496000,-0.0429,0.616,-1.249,0.142,1.2,16.489359,16.394787,16.272688,,302.6341936185,-44.8799318538,,7.142647110093611e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
101,Cl* NGC 330 ELS 081260,Classical,17.77,B3Ve,227,0,13.554666666666666,-72.24322222222222,101.0,Gaia EDR3 4689059033993841920,0.2787,15.236,-2.744,4.714,89.2,18.402113,17.242922,17.338175,,302.6327528876,-44.8833208146,,1.2267543139719128e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
102,Cl* NGC 330 ELS 005045,Classical,15.8,B2IVe,226,0,13.562541666666666,-72.25244444444445,102.0,Gaia EDR3 4689058965255025280,0.0103,0.72,-1.339,0.0,0.0,15.777757,15.71034,15.902756,,302.6295787067,-44.8740905795,,1.3756247909034778e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
103,Cl* NGC 330 ELS 014271,Classical,15.56,B0IIIe,499,0,13.575541666666666,-72.46031944444445,103.0,Gaia EDR3 4689004642523682176,-0.0392,0.769,-1.359,0.086,1.25,15.423131,15.426684,15.341763,,302.6285678471,-44.6662179509,,1.9069986863719536e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
104,Cl* NGC 330 ELS 045353,Classical,15.53,B2IIIe,319,0,13.593208333333333,-72.45211666666667,104.0,Gaia EDR3 4689004745602866560,-0.0239,0.644,-1.21,0.105,1.98,15.363945,15.338311,15.353728,,302.6209024499,-44.6743341484,,2.0138392167181017e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
105,Cl* NGC 330 ELS 080910,Classical,16.74,B2IVe,316,0,13.601125,-72.23039166666666,105.0,Gaia EDR3 4689059132762054784,0.0099,0.626,-1.324,0.229,2.86,16.599688,16.580927,16.641489,,302.6124676726,-44.8959645088,,6.452493769811035e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
106,Cl* NGC 330 ELS 025718,Classical,16.87,B2IIIe,264,0,13.613083333333334,-72.25441666666667,106.0,Gaia EDR3 4689058862175809152,0.021,0.598,-1.311,0.0,0.0,16.7582,16.712837,16.818367,,302.6078829538,-44.8718872539,,5.576000369695223e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
107,Cl* NGC 330 ELS 064745,Classical,15.691,B0IVe,447,0,13.620208333333334,-72.46058611111111,107.0,Gaia EDR3 4689004676883411456,-0.0071,0.694,-1.337,0.083,1.2,15.415195,15.417307,15.319209,,302.6096629148,-44.6657413669,,1.9209886279163106e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
108,2MASS J00543292-7227418,Classical,15.42,B2IIIe,213,0,13.637333333333334,-72.461625,108.0,Gaia EDR3 4689004470724982528,0.0437,0.686,-1.319,0.149,4.1,15.311398,15.297479,15.284894,,302.6024356255,-44.6646240405,,2.1137011996144144e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
109,RX J0054.5-7228,Classical,,Be,,0,13.637916666666667,-72.4689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
110,Cl* NGC 330 ELS 041410,Classical,16.37,B1IIIe,496,0,13.638791666666666,-72.53658333333334,110.0,Gaia EDR3 4688992273014021632,-0.0226,0.619,-1.247,0.08,0.511,16.203403,16.233358,16.09014,,302.6036527957,-44.5896424321,,9.294833056988742e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
111,X SMC X-2,Classical,16.38,B1.5Ve,,0,13.650791666666667,-73.6764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
112,IPHAS J005436.84+630549.8,Classical,,B2-3V,,0,13.6535,63.09716944444445,112.0,Gaia EDR3 523707906696257152,0.1711,-2.354,0.229,0.0,0.0,15.057431,15.570906,14.349483,,123.2911951703,0.2276518889,,2.6707325155437325e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
113,[MA93] 785,Classical,16.02,B2IIIe,368,0,13.669958333333334,-72.46458333333334,113.0,Gaia EDR3 4689005948193735296,-0.0553,0.719,-1.344,0.129,1.75,15.945934,15.912376,15.885803,,302.5886955259,-44.661488413,,1.1782276054530622e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
114,Cl* NGC 330 ELS 002825,Classical,17.43,B1Ve,277,0,13.672375,-72.46733888888889,114.0,Gaia EDR3 4689005879419023616,-0.0968,0.684,-1.398,0.0,0.0,17.270706,17.29212,17.310194,,302.5877376998,-44.6587220059,,3.477926453456793e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
115,Cl* NGC 330 ELS 002957,Classical,15.28,B2IIIe,239,0,13.688375,-72.45382777777778,115.0,Gaia EDR3 4689005948193694080,-0.0083,0.71,-1.313,0.082,1.31,15.205402,15.169801,15.205302,,302.5806087561,-44.672151895,,2.3304618286500603e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
116,Cl* NGC 330 ELS 064576,Classical,17.38,B2Ve,308,0,13.692875,-72.46805555555555,116.0,Gaia EDR3 4689005875207307648,0.1771,0.242,-1.64,0.728,14.7,17.275375,17.07599,17.039597,,302.5790571902,-44.6578758425,,3.463002410773167e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
117,Cl* NGC 330 ELS 016486,Classical,15.58,B1IIIe,496,0,13.693416666666666,-72.4229888888889,117.0,Gaia EDR3 4689006257431240960,-0.036,0.699,-1.247,0.096,1.48,15.482405,15.45147,15.366459,,302.5776931869,-44.7029518231,,1.805680025479044e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J005446.3-722523,1.1963e-16,7.24248e-16,2.52316e-15,1.80146e-14,5.46261e-14,8.00902e-14,2.2547e-14,0.835946,0.78198,0.195384,0.003597,0.0,0.339752,0.043866,1.0,J005446.3-722522,2.4237047554565e-14,2.0432853895998e-14,3.4037848659614e-15,1.1991294635575e-15,0.0,0.36227,0.61087,0.3148,0.9994534,0.996003,0.09852585,0.8194346,,,,,,,,"BeSS,Gaia,XMM,Chandra"
