#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,DR2Name,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,AG,RV,GLON,GLAT,Teff,Lum,Rad,Plx,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,VaKSb,VaKPb,VaGLb,Vib,HR_21,HR_32,HR_43,HR_54,HR_su,HR_ms,HR_hm,B_ox,flags
1962,HD 172122,Classical,8.87,B3IIe,,2,279.800625,-20.335705555555556,1962.0,b'Gaia DR2 4092111115889628032',-0.028,-4.45,0.093,2.53,8.7652,8.8307,8.6604,0.7503,,13.40307962459,-6.54205178364,8716.0,,,1.2546,6.783117676251683e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1963,HD 172158,Classical,7.95,B8IIe,,32,279.876,-21.965558333333334,1963.0,b'Gaia DR2 4079558197792052352',0.422,-5.048,0.0,0.0,7.8067,7.9454,7.5828,1.057,,11.96462165429,-7.33096665694,7757.0,676.922,14.41,0.9176,1.6399452582714105e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1964,HD 172252,Classical,9.57,B0Ve,,0,279.9160416666667,-11.878619444444444,1964.0,b'Gaia DR2 4106582613060187520',0.268,0.236,0.695,53.3,9.1954,9.6209,8.6168,,,21.02296598423,-2.81646153558,5314.5,25.743,5.98,2.5184,4.564039048446189e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1965,V4131 Sgr,Classical,8.73,B1Ve,310.0,3,280.045875,-22.663833333333333,1965.0,b'Gaia DR2 4079191819910724608',-1.134,-2.986,0.139,4.39,8.6116,8.6708,8.5067,0.698,,11.4032360052,-7.78105348611,8788.0,,,0.9845,7.813927033185384e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1966,EM* AS 315,Classical,11.3,Be,,0,280.2504583333333,-5.464361111111111,1966.0,b'Gaia DR2 4256506967717461120',-1.318,-4.057,0.089,2.11,10.1457,11.4854,9.0238,,,26.88092649806,-0.17722308971,3786.0,1821.171,99.19,0.2624,1.9020825068250438e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1967,BD-13 5073,Classical,10.4,B1IVpe,,0,280.34404166666667,-13.841369444444444,1967.0,b'Gaia DR2 4103813802261866496',-0.217,0.802,0.0,0.0,9.7269,10.3029,9.0221,,,19.46178435116,-4.08065737437,5079.25,281.181,21.65,0.6082,2.7973663826722007e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1968,HD 172694,Classical,8.23,B2IIe,,9,280.5690416666667,-15.855780555555556,1968.0,b'Gaia DR2 4100276054888470272',-0.94,-1.883,0.0,0.0,8.0183,8.1792,7.7396,1.3197,,17.75733867593,-5.18474694741,7588.0,394.081,11.49,1.0848,1.3495511556958654e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1969,V447 Sct,Classical,7.88,B0.5IVe,61.0,115,281.1389166666667,-7.110602777777777,1969.0,b'Gaia DR2 4252715954756272768',-0.265,-2.994,0.0,0.0,7.701,7.8537,7.4391,0.8875,,25.81996797525,-1.71498939031,7676.67,3547.333,33.67,0.4196,1.8076292134977729e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1970,4 Aql,Classical,5.014,B9Ve,225.0,278,281.2080833333333,2.0600388888888888,1970.0,b'Gaia DR2 4278967756855445888',9.347,-14.719,0.937,256.0,4.9552,4.9801,5.0167,0.3635,,34.01349331082,2.40836328197,9513.5,,,6.7299,2.2668842833167747e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1971,HD 173371,Classical,6.885,B7IVe,295.0,99,281.23295833333333,-0.37343611111111114,1971.0,b'Gaia DR2 4260377935810215552',-0.361,-17.521,0.0,0.0,6.8443,6.8689,6.8303,0.481,,31.85762680542,1.27713998654,9323.33,,,3.5079,3.979141209776523e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1972,HD 173530,Classical,8.82,B7IIIe,250.0,8,281.42879166666665,4.578597222222222,1972.0,b'Gaia DR2 4280653411281407104',-0.427,-6.557,0.0,2.32e-15,8.6876,8.9603,8.2841,1.1333,,36.36016598691,3.35654129364,6179.73,138.012,10.25,1.3332,7.285667570839354e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1973,V455 Sct,Classical,9.29,B1IVe,197.0,1,281.6586666666667,-7.931977777777778,1973.0,b'Gaia DR2 4251858954177088128',0.259,-0.954,0.053,0.779,9.2905,9.4305,9.0601,0.9547,,25.32295961949,-2.54774977142,7760.0,495.955,12.32,0.5414,4.1812809659589134e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1974,CX Dra,Classical,5.9,B2.5Ve,163.0,2099,281.6795416666667,52.98796111111111,1974.0,b'Gaia DR2 2146355278489784960',11.053,-4.621,0.371,58.6,5.8683,5.8687,5.9226,0.2357,,82.44512436778,22.03289641359,9450.0,,,2.8052,9.776633871468474e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1975,BD-15 5090,Classical,10.3,Be,,1,281.71141666666665,-14.992880555555555,1975.0,b'Gaia DR2 4100450636704695424',-0.147,0.672,0.0,0.0,10.0434,10.2796,9.6755,,,19.02847598109,-5.78166188723,6627.68,336.961,13.92,0.456,2.0900147516767403e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1976,HD 173817,Classical,8.63,B6IVe,270.0,56,281.8099166666667,2.601863888888889,1976.0,b'Gaia DR2 4279387834711873024',-1.43,-9.437,0.0,0.0,8.5577,8.6544,8.3986,0.754,,34.77021500852,2.1195661042,8299.67,,,2.0905,8.211629598523568e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1977,HD 174179,Classical,6.047,B3IVpe,5.0,253,281.98904166666665,31.75683611111111,1977.0,b'Gaia DR2 2089931296694847232',1.093,-3.957,0.353,56.5,6.0201,5.9582,6.1444,0.104,,61.47915991839,14.56552000902,8868.67,,,2.5407,8.500986988364534e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1978,HD 174105,Classical,6.93,B8e,250.0,130,282.094375,15.394136111111111,1978.0,b'Gaia DR2 4510509615587431552',-1.537,-3.505,0.064,1.28,6.833,6.8981,6.7454,0.6893,,46.37226143983,7.61419947857,8537.0,,,2.1796,4.0207711162379976e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1979,SHELIAK,Classical,3.52,B7Ve,120.0,2872,282.52,33.36266944444444,1979.0,b'Gaia DR2 2090687795054381056',1.569,-2.523,2.093,2260.0,7.4965,6.5702,5.3612,,,63.18759245712,14.78344560281,5095.63,,,1.0851,2.1822743668811438e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1980,HD 174571,Classical or Herbig,8.89,B1.5Ve,240.0,7,282.69658333333336,8.702802777777778,1980.0,b'Gaia DR2 4311085453600069376',-1.169,-1.64,0.0,0.0,8.7251,9.0469,8.2574,1.4835,,40.61674826326,4.09991964871,6149.09,306.668,15.43,0.8794,7.038325560836942e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1981,BD-09 4858,Classical,8.95,B1.5Ve,108.0,3,282.7429583333334,-9.827375,1981.0,b'Gaia DR2 4203105268550406912',1.011,-0.716,0.0,0.0,8.9679,9.0805,8.7879,0.635,,24.1159620297,-4.36122392497,7950.67,388.147,10.38,0.7161,5.627938609684464e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1982,HD 174512,Classical,8.557,Be,,109,282.78325,-6.279175,1982.0,b'Gaia DR2 4252502821320729344',-1.327,-4.428,0.0,0.0,8.3525,8.7183,7.8508,0.881,,27.30441780583,-2.79113158248,5500.86,,,0.424,9.919946991342133e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1983,V457 Sct,Classical,8.7,B1.5IVe,251.0,4,282.790625,-7.798822222222222,1983.0,b'Gaia DR2 4252018830028208512',0.643,-1.518,0.0,0.0,8.4147,8.5009,8.2334,0.849,,25.95121296876,-3.48659673904,8773.5,,,0.5737,9.367621861367399e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1984,HD 175511,Classical,6.94,B9e,,203,283.00920833333333,59.66703611111111,1984.0,b'Gaia DR2 2156145742340023424',-5.451,5.778,0.149,9.53,6.9248,6.9319,6.9575,,,89.6296036801,23.10316772659,9530.33,,,2.7881,3.694786528209128e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1985,lam Pav,Classical,4.207,B2Ve,140.0,23,283.05429166666664,-62.18759166666667,1985.0,b'Gaia DR2 6631708338599353856',-3.173,-12.586,1.963,1860.0,4.1245,4.1086,4.3085,0.0892,,333.61104932625,-23.87361955595,8748.33,,,4.8003,4.8720232421440624e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1986,HD 174705,Classical,8.34,B1.5IVe,331.0,7,283.068875,-11.632602777777779,1986.0,b'Gaia DR2 4106052201769027072',0.41,-3.908,0.0,0.0,8.228,8.3796,7.9688,,,22.64190005525,-5.45871619849,7503.0,389.219,11.68,0.9888,1.1125239048186651e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1987,HD 174775,Classical,8.96,B5Ve,,2,283.23941666666667,-19.668375,1987.0,b'Gaia DR2 4086062633673623936',-1.277,-5.167,0.0,0.0,8.7463,8.8415,8.5743,0.873,,15.44272423776,-9.15062683286,8378.0,,,1.3836,6.902228799181117e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1988,HD 174886,Classical,7.77,B4IIIe,69.0,65,283.31029166666667,-10.220130555555556,1988.0,b'Gaia DR2 4203031154587535872',-0.756,-4.832,3.567,3390.0,7.6752,7.7685,7.5149,0.9977,,24.01634684581,-5.03689932886,8382.0,,,3.0474,1.8510977436663346e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1989,HD 175863,Classical,7.034,B4Ve,,344,283.43625,60.01786944444444,1989.0,b'Gaia DR2 2155523281319746048',1.178,-2.344,0.198,16.8,7.0071,6.9705,7.1311,0.1435,,90.05757641747,22.98484017054,8868.67,,,1.1599,3.4250692083221777e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1990,BD-02 4786,Classical,11.61,Be,,0,284.0151666666667,-2.6265,1990.0,b'Gaia DR2 4255894054365881088',-1.269,-1.379,0.0,0.0,11.3035,11.8227,10.6285,,,31.11989521736,-2.22515036294,4875.0,148.286,17.07,0.4145,6.548010263230522e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1991,BD-05 4819,Classical,10.6,B2IVpe,,0,284.3042916666667,-5.525008333333333,1991.0,b'Gaia DR2 4254112987333178880',-1.009,-0.232,0.0,0.0,10.1231,10.3838,9.7099,1.4915,,28.66469888435,-3.7979497177,6547.0,604.986,19.12,0.328,1.942089997349297e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1992,64 Ser,Classical,5.563,B8IIIe,175.0,205,284.319125,2.535347222222222,1992.0,b'Gaia DR2 4268670448197174144',-4.945,-12.512,0.395,48.2,5.5046,5.5502,5.4864,0.563,,35.85368067241,-0.14195916191,9049.0,,,2.7221,1.3666879064343376e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1993,BD-05 4823,Classical,10.48,Be,,0,284.563125,-5.482438888888889,1993.0,b'Gaia DR2 4254116418945204992',-2.257,-4.218,0.0,0.0,10.3745,10.5628,10.0614,1.334,,28.81962890372,-4.00845212834,7208.35,63.48,5.11,0.9058,1.5406690258453291e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1994,V1437 Aql,Classical,8.98,B5IVe,227.0,29,284.8132916666667,-7.133591666666667,1994.0,b'Gaia DR2 4205623734271081984',1.072,-2.25,0.0,0.424,8.8945,9.0118,8.6912,1.0025,,27.45437872813,-4.97574383798,8042.67,,,1.0396,6.021564621809955e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1995,HD 176630,Classical,7.65,B3IIIe,175.0,197,285.36379166666666,-6.192591666666667,1995.0,b'Gaia DR2 4205788901521956736',2.64,1.111,0.0,0.0,7.5615,7.674,7.3913,0.9622,,28.54499445284,-5.03983343868,7904.52,696.245,14.07,1.0195,2.0554615229238206e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1996,HD 177015,Classical,7.8,B4Vne,,32,285.88804166666665,-20.128591666666665,1996.0,b'Gaia DR2 4085376572766368256',-1.662,-7.237,0.088,2.02,7.7034,7.7489,7.645,0.4605,,16.10004606247,-11.59932316087,9105.0,,,1.5237,1.803637895213538e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1997,HD 230579,Classical,9.1,B1IVe,330.0,55,286.0334166666667,11.106858333333333,1997.0,b'Gaia DR2 4312604875607435648',-0.119,-5.632,0.315,23.0,8.8498,9.2226,8.3327,,,44.25689338786,2.26303520679,5473.04,243.546,17.36,0.9509,6.274647768732317e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1998,HD 177648,Classical,7.234,B2Ve,,254,286.16041666666666,23.329280555555556,1998.0,b'Gaia DR2 4521438177054351104',2.363,-5.107,0.086,3.37,7.1812,7.2652,7.0422,0.5973,,55.26310304932,7.67302176534,8254.0,,,1.6416,2.9176241926381602e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
1999,V4409 Sgr,Classical,8.66,B8Vnne,,1,286.1997083333333,-18.707552777777778,1999.0,b'Gaia DR2 4087300030918090496',6.982,1.303,0.0,0.0,8.4441,8.783,7.9474,,,17.54105623255,-11.26619522819,5792.67,65.09,8.01,2.1885,9.117365209333324e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2000,HD 177427,Classical,7.08,B9IIIe,,42,286.4454166666667,-29.081125,2000.0,b'Gaia DR2 6762258095818925696',0.353,-6.651,0.2,12.6,7.0552,7.0878,7.0273,0.5323,,7.88181192626,-15.68077938007,9200.0,,,1.4596,3.276644698784943e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2001,iot Lyr,Classical,5.249,B6IVe,310.0,580,286.82554166666665,36.10015833333333,2001.0,b'Gaia DR2 2098699038630265728',-1.437,-3.876,1.163,784.0,5.1491,5.1727,5.3049,0.214,,67.23239241533,12.64606937777,9485.75,,,3.5858,1.8961354220965033e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2002,V4024 Sgr,Classical,5.57,B2Ve,105.0,84,287.0695833333333,-19.29028611111111,2002.0,b'Gaia DR2 4087025599684918656',6.384,-1.02,0.547,81.8,5.3795,5.4332,5.4698,0.2867,,17.35469867482,-12.25753543338,9223.33,,,1.955,1.5335902946721396e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2003,V1443 Aql,Classical,8.93,B3Ve,99.0,8,287.104875,9.133547222222223,2003.0,b'Gaia DR2 4307619586761737600',-2.693,-2.005,0.0,0.0,8.9082,9.1209,8.5812,,,42.9876253497,0.42010705452,6791.0,122.969,8.01,1.2736,5.946060879153174e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2004,EM* AS 341,Classical,11.0,Be,,0,287.48108333333334,-2.793688888888889,2004.0,b'Gaia DR2 4261256033300607360',-3.812,-4.956,0.083,1.35,12.2102,13.1547,10.9755,,,32.54742202231,-5.38514215841,3785.54,,,0.0995,2.840726034251812e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2005,EM* StHA 160,Classical,11.87,Be,,0,287.73508333333336,-16.837052777777778,2005.0,b'Gaia DR2 4087922491937608832',3.112,-2.754,0.098,2.84,11.6531,11.6069,11.588,,,19.90222897417,-11.79882699675,9552.33,,,0.1909,4.7453620356046255e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2006,HD 179343,Classical,6.945,B8IIIe,148.0,113,288.01366666666667,2.622588888888889,2006.0,b'Gaia DR2 4268167803943937152',,,11.774,35900.0,6.9228,7.0097,6.7875,,,37.62314480311,-3.38270515211,8222.67,,,,3.701598848967433e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2007,HBHA 703-05,Classical,11.174,B5IIe,,1,288.11224999999996,6.628947222222222,2007.0,b'Gaia DR2 4306090367951208704',-1.185,-4.501,0.0,0.0,10.9223,11.3512,10.3345,,,41.22650932893,-1.62139741512,5291.05,85.067,10.98,0.6265,9.302278795066362e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2008,V1446 Aql,Classical,9.12,B2Ve,231.0,4,288.16775,-6.458802777777778,2008.0,b'Gaia DR2 4205205748007018368',-0.24,-4.448,0.0,0.0,8.8991,9.1375,8.5235,1.4123,,29.56560924948,-7.64916508896,6575.0,255.135,12.31,0.8875,5.996106685949707e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2009,HD 179253,Classical,9.78,B7Ve,120.0,5,288.434125,-42.413383333333336,2009.0,b'Gaia DR2 6713805779469344128',3.503,-3.684,0.179,11.0,9.7985,9.781,9.8294,0.226,,355.24906474458,-21.80074176386,8854.33,,,0.363,2.618842326160826e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2010,EM* CDS 1054,Classical,11.16,A0IIe,,1,288.7079166666667,17.5975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
2011,V1448 Aql,Classical,7.99,B2IVe,243.0,414,288.75595833333335,9.807616666666666,2011.0,b'Gaia DR2 4309083998818666752',3.359,-8.991,0.171,5.98,7.9373,8.0354,7.7572,0.897,,44.33880700041,-0.71172956586,8402.67,,,2.2863,1.454083516969693e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2012,HD 181409,Classical,6.573,B2IVe,140.0,211,289.7655833333333,33.38881111111111,2012.0,b'Gaia DR2 2049168552364523520',-12.842,-33.776,0.179,15.0,6.5444,6.4568,6.7411,0.0495,,65.79851315477,9.29880983314,8868.67,,,1.8323,5.245046604562798e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2013,HD 181231,Classical,8.69,B5IVe,250.0,18,289.92654166666665,-0.04985833333333334,2013.0,b'Gaia DR2 4263591911398361472',-0.692,-5.362,0.0,0.0,8.5809,8.755,8.3127,,,36.12279005983,-6.30914558915,7204.09,259.171,10.33,1.0239,8.038024978484346e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2014,HD 181367,Classical,9.34,B6IVe,279.0,2,290.01645833333333,2.3309972222222224,2014.0,b'Gaia DR2 4288912530315387904',-0.156,-3.332,0.0,0.0,9.2226,9.5492,8.75,1.5425,,38.28879905203,-5.29275794616,5816.67,56.707,7.42,1.6371,4.451120498517456e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2015,HD 181308,Classical,8.66,B5IVe,246.0,6,290.0214583333333,-1.596363888888889,2015.0,b'Gaia DR2 4262725599302444928',2.384,-3.26,0.0,0.0,8.574,8.7439,8.2969,1.2368,,34.7818579915,-7.10103364257,7304.98,66.136,5.08,2.0368,8.089270374431172e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2016,HD 181709,Classical,8.77,B6IIIe,249.0,26,290.32616666666667,5.422702777777777,2016.0,b'Gaia DR2 4293667368342699136',1.8,-3.121,0.0,0.0,8.612,8.9052,8.1804,,,41.18055020368,-4.13144557391,6162.0,119.411,9.59,1.4844,7.811048806302225e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2017,HD 181803,Classical,9.03,B7IIIe,185.0,3,290.3946666666667,8.872941666666666,2017.0,b'Gaia DR2 4307972530041376000',0.62,-3.358,0.0,0.0,8.8901,9.166,8.4677,1.8435,,44.26742093317,-2.57799420131,6316.5,154.851,10.39,1.1451,6.046016825515971e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2018,BD+30 3526,Classical,9.89,A0IIe,,4,290.41758333333337,31.162141666666667,2018.0,b'Gaia DR2 2039736593719268608',-4.397,-6.587,0.154,10.7,9.7977,9.8483,9.701,0.5515,,64.03914028558,7.80395937088,9029.0,,,0.498,2.6207726715753835e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2019,ups Sgr,Classical,4.578,Bpshe,44.0,371,290.43174999999997,-15.955016666666667,2019.0,b'Gaia DR2 4184011836737423872',0.812,-5.982,1.7,933.0,4.3779,4.5313,4.2336,0.4483,,21.83887858985,-13.77467401158,7562.75,,,1.4916,3.85788565613706e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2020,HD 344313,Classical,9.45,B2Vpe,,6,291.1907083333333,22.774633333333334,2020.0,b'Gaia DR2 2019268531933154176',0.817,-5.506,0.0,0.0,9.0759,9.5175,8.4547,,,56.89287153437,3.30281314021,5073.68,56.223,9.7,1.8367,5.095060572187834e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2021,HD 183339,Classical,6.581,B8IVwe,45.0,169,291.44487499999997,58.027322222222224,2021.0,b'Gaia DR2 2142523441811425280',-2.39,4.865,0.161,9.0,6.5653,6.522,6.6995,0.0967,,89.43116097355,18.44899096033,8868.67,,,3.0045,5.145047059818606e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
